2016-04-15	-5.280443192
2016-04-16	-5.284569263
2016-04-17	-5.288685322
2016-04-18	-5.292791843
2016-04-19	-5.296888351
2016-04-20	-5.300973892
2016-04-21	-5.305050373
2016-04-22	-5.309115887
2016-04-23	-5.313172817
2016-04-24	-5.317219257
2016-04-25	-5.321256161
2016-04-26	-5.301571369
2016-04-27	-5.281576157
2016-04-28	-5.261766434
2016-04-29	-5.242483139
2016-04-30	-5.223679066
2016-05-01	-5.227940559
2016-05-02	-5.232192516
2016-05-03	-5.23643446
2016-05-04	-5.240665436
2016-05-05	-5.244886398
2016-05-06	-5.249097824
2016-05-07	-5.253298283
2016-05-08	-5.257489204
2016-05-09	-5.261670113
2016-05-10	-5.265841007
2016-05-11	-5.270000935
2016-05-12	-5.274151802
2016-05-13	-5.278292179
2016-05-14	-5.282423019
2016-05-15	-5.286544323
2016-05-16	-5.290655613
2016-05-17	-5.294756889
2016-05-18	-5.298849106
2016-05-19	-5.302930832
2016-05-20	-5.307003021
2016-05-21	-5.311065674
2016-05-22	-5.315118313
2016-05-23	-5.319161415
2016-05-24	-5.323194504
2016-05-25	-5.327218056
2016-05-26	-5.331231594
2016-05-27	-5.335235596
2016-05-28	-5.339229584
2016-05-29	-5.343214035
2016-05-30	-5.347188473
2016-05-31	-5.351154804
2016-06-01	-5.355111122
2016-06-02	-5.359057903
2016-06-03	-5.362994671
2016-06-04	-5.366921425
2016-06-05	-5.370839596
2016-06-06	-5.374748707
2016-06-07	-5.378647327
2016-06-08	-5.382537842